bncc_indice,bncc_codigo,bncc_objetivo,curriculo_indice,curriculo_codigo,similaridade
1,(EI03CG01),"(EI03CG01) Criar com o corpo formas diversificadas de expressão de sentimentos, sensações e emoções, tanto nas situações do cotidiano quanto em brincadeiras, dança, teatro e música.",1,(EI03CG01),0.9999997
2,(EI03CG02),"(EI03CG02) Demonstrar controle e adequação do uso de seu corpo em brincadeiras e jogos, escuta e reconto de histórias, atividades artísticas, entre outras possibilidades.",2,(EI03CG02),1.0
3,(EI03CG03),"(EI03CG03) Criar movimentos, gestos, olhares e mímicas em brincadeiras, jogos e atividades artísticas como dança, teatro e música.",3,(EI03CG03),0.99999994
4,(EI03CG04),"(EI03CG04) Adotar hábitos de autocuidado relacionados à higiene, alimentação, conforto e aparência.",4,(EI03CG04),1.0
5,(EI03CG05),(EI03CG05) Coordenar suas habilidades manuais no atendimento adequado a seus interesses e necessidades em situações diversas.,5,(EI03CG05),1.0000001
6,(EI03EF01),"(EI03EF01) Expressar ideias, desejos e sentimentos sobre suas vivências, por meio da linguagem oral e escrita (escrita espontânea), de fotos, desenhos e outras formas de expressão.",6,(EI03EF01),1.0
7,(EI03EF01ME01),"(EI03EF01ME01) Compreender e executar ordens simples, transmitindo recados.",7,(EI03EF01ME01),1.0
7,(EI03EF01ME01),"(EI03EF01ME01) Compreender e executar ordens simples, transmitindo recados.",8,(EI03EF01ME02),0.9665506
7,(EI03EF01ME01),"(EI03EF01ME01) Compreender e executar ordens simples, transmitindo recados.",9,(EI01EF23ME03),0.96648026
8,(EI03EF01ME02),(EI03EF01ME02) Vivenciar situações que envolvam necessidade de expor seu ponto de vista.,8,(EI03EF01ME02),1.0
8,(EI03EF01ME02),(EI03EF01ME02) Vivenciar situações que envolvam necessidade de expor seu ponto de vista.,7,(EI03EF01ME01),0.9665506
8,(EI03EF01ME02),(EI03EF01ME02) Vivenciar situações que envolvam necessidade de expor seu ponto de vista.,9,(EI01EF23ME03),0.9526427
9,(EI01EF23ME03),(EI01EF23ME03) Reconhecer os combinados e rotinas por meio de gravuras.,9,(EI01EF23ME03),1.0
9,(EI01EF23ME03),(EI01EF23ME03) Reconhecer os combinados e rotinas por meio de gravuras.,7,(EI03EF01ME01),0.96648026
9,(EI01EF23ME03),(EI01EF23ME03) Reconhecer os combinados e rotinas por meio de gravuras.,8,(EI03EF01ME02),0.9526427
10,(EI03EF02),"(EI03EF02) Inventar brincadeiras cantadas, poemas e canções, criando rimas, aliterações e ritmos.",10,(EI03EF02),1.0000001
10,(EI03EF02),"(EI03EF02) Inventar brincadeiras cantadas, poemas e canções, criando rimas, aliterações e ritmos.",11,(EI03EF02ME01),0.9760847
10,(EI03EF02),"(EI03EF02) Inventar brincadeiras cantadas, poemas e canções, criando rimas, aliterações e ritmos.",12,(EI03EF02ME02),0.97493315
11,(EI03EF02ME01),"(EI03EF02ME01) Conhecer e identificar, oralmente, rimas em poemas, parlendas e quadrinhas.",11,(EI03EF02ME01),1.0000002
11,(EI03EF02ME01),"(EI03EF02ME01) Conhecer e identificar, oralmente, rimas em poemas, parlendas e quadrinhas.",12,(EI03EF02ME02),0.9806769
11,(EI03EF02ME01),"(EI03EF02ME01) Conhecer e identificar, oralmente, rimas em poemas, parlendas e quadrinhas.",10,(EI03EF02),0.9760847
12,(EI03EF02ME02),"(EI03EF02ME02) Conhecer, reproduzir e interpretar oralmente jogos verbais, parlendas, quadrinhas, poemas, canções, contos e adivinhações.",12,(EI03EF02ME02),0.99999976
12,(EI03EF02ME02),"(EI03EF02ME02) Conhecer, reproduzir e interpretar oralmente jogos verbais, parlendas, quadrinhas, poemas, canções, contos e adivinhações.",11,(EI03EF02ME01),0.9806769
12,(EI03EF02ME02),"(EI03EF02ME02) Conhecer, reproduzir e interpretar oralmente jogos verbais, parlendas, quadrinhas, poemas, canções, contos e adivinhações.",10,(EI03EF02),0.97493315
13,(EI03EF03),"(EI03EF03) Escolher e folhear livros, procurando orientar-se por temas e ilustrações e tentando identificar palavras conhecidas.",13,(EI03EF03),1.0
13,(EI03EF03),"(EI03EF03) Escolher e folhear livros, procurando orientar-se por temas e ilustrações e tentando identificar palavras conhecidas.",14,(EI03EF03ME01),0.9581065
13,(EI03EF03),"(EI03EF03) Escolher e folhear livros, procurando orientar-se por temas e ilustrações e tentando identificar palavras conhecidas.",15,(EI03EF03ME02),0.9534155
14,(EI03EF03ME01),"(EI03EF03ME01) Relacionar imagens à escrita, levantando hipóteses sobre as mesmas, por meio de livros com temas voltados aos contos e histórias da cultura local e regional.",14,(EI03EF03ME01),1.0
14,(EI03EF03ME01),"(EI03EF03ME01) Relacionar imagens à escrita, levantando hipóteses sobre as mesmas, por meio de livros com temas voltados aos contos e histórias da cultura local e regional.",13,(EI03EF03),0.9581065
15,(EI03EF03ME02),(EI03EF03ME02) Diferencia a escrita convencional de ilustrações acompanhando com a orientação do adulto leitor a direção da leitura da esquerda para direita e de cima para baixo.,15,(EI03EF03ME02),1.0
15,(EI03EF03ME02),(EI03EF03ME02) Diferencia a escrita convencional de ilustrações acompanhando com a orientação do adulto leitor a direção da leitura da esquerda para direita e de cima para baixo.,13,(EI03EF03),0.9534155
16,(EI03EF04),"(EI03EF04) Recontar histórias ouvidas e planejar coletivamente roteiros de vídeos e de encenações, definindo os contextos, os personagens, a estrutura da história.",16,(EI03EF04),1.0000001
